knr,knavn,aar,mnd,al_Menn,al_Kvinner,alp_Menn,alp_Kvinner,alp_15_74,alp_15_29,alp_30_74
0101,Halden,1999,1,283,248,3.9,4.1,4,6.3,3.2
0101,Halden,1999,2,291,236,4,3.9,4,6.1,3.3
0101,Halden,1999,3,290,230,4,3.8,3.9,5.9,3.3
0101,Halden,1999,4,244,207,3.4,3.4,3.4,4.9,2.9
0101,Halden,1999,5,210,179,2.9,3,2.9,3.8,2.6
0101,Halden,1999,6,227,203,3.2,3.4,3.2,4.2,2.9
0101,Halden,1999,7,265,273,3.7,4.5,4.1,5.2,3.7
0101,Halden,1999,8,288,278,4,4.6,4.3,6.6,3.5
0101,Halden,1999,9,230,201,3.2,3.3,3.3,4.8,2.7
0101,Halden,1999,10,225,207,3.1,3.4,3.3,4.8,2.7
0101,Halden,1999,11,209,171,2.9,2.8,2.9,4.2,2.4
0101,Halden,1999,12,236,163,3.3,2.7,3,4.4,2.5
0101,Halden,2000,1,289,172,4,2.8,3.5,5.2,2.9
0101,Halden,2000,2,250,170,3.5,2.8,3.2,4.5,2.7
0101,Halden,2000,3,232,147,3.2,2.4,2.9,4.2,2.4
0101,Halden,2000,4,225,155,3.1,2.6,2.9,4.2,2.4
0101,Halden,2000,5,197,163,2.8,2.7,2.7,4.3,2.2
0101,Halden,2000,6,216,180,3,3,3,4.5,2.5
0101,Halden,2000,7,228,208,3.2,3.4,3.3,5.1,2.7
0101,Halden,2000,8,228,202,3.2,3.3,3.3,5.3,2.6
0101,Halden,2000,9,220,177,3.1,2.9,3,4.2,2.6
0101,Halden,2000,10,188,138,2.6,2.3,2.5,3.1,2.3
0101,Halden,2000,11,186,138,2.6,2.3,2.5,3.4,2.1
0101,Halden,2000,12,191,130,2.7,2.1,2.4,2.9,2.3
0101,Halden,2001,1,228,177,3.2,2.9,3,3.9,2.7
0101,Halden,2001,2,222,178,3.1,2.9,3,4,2.7
0101,Halden,2001,3,213,162,3,2.6,2.8,3.7,2.5
0101,Halden,2001,4,189,156,2.6,2.5,2.6,3.3,2.3
0101,Halden,2001,5,178,160,2.5,2.6,2.5,3.3,2.3
0101,Halden,2001,6,175,170,2.4,2.8,2.6,3.2,2.4
0101,Halden,2001,7,194,196,2.7,3.2,2.9,3.5,2.7
0101,Halden,2001,8,222,236,3.1,3.9,3.4,4.7,3
0101,Halden,2001,9,225,229,3.1,3.7,3.4,4.7,3
0101,Halden,2001,10,217,207,3,3.4,3.2,4.6,2.7
0101,Halden,2001,11,258,213,3.6,3.5,3.5,5.8,2.8
0101,Halden,2001,12,278,204,3.9,3.3,3.6,5.7,2.9
0101,Halden,2002,1,298,235,4,3.8,3.9,6.1,3.2
0101,Halden,2002,2,284,211,3.9,3.4,3.6,5,3.2
0101,Halden,2002,3,287,211,3.9,3.4,3.7,5.4,3.1
0101,Halden,2002,4,293,223,4,3.6,3.8,5.9,3.1
0101,Halden,2002,5,263,210,3.6,3.4,3.5,4.9,3
0101,Halden,2002,6,258,239,3.5,3.8,3.7,5.4,3.1
0101,Halden,2002,7,275,260,3.7,4.2,3.9,5.8,3.3
0101,Halden,2002,8,316,297,4.3,4.8,4.5,7.4,3.6
0101,Halden,2002,9,290,252,3.9,4,4,6.5,3.2
0101,Halden,2002,10,294,231,4,3.7,3.9,5.6,3.3
0101,Halden,2002,11,304,235,4.1,3.8,4,5.6,3.4
0101,Halden,2002,12,314,222,4.3,3.6,3.9,5.2,3.6
0101,Halden,2003,1,382,255,5.2,4,4.7,7.5,3.8
0101,Halden,2003,2,365,263,5,4.2,4.6,6.9,3.9
0101,Halden,2003,3,371,263,5.1,4.2,4.6,6.8,4
0101,Halden,2003,4,368,271,5,4.3,4.7,6.8,4
0101,Halden,2003,5,334,243,4.6,3.8,4.2,5.8,3.7
0101,Halden,2003,6,358,312,4.9,4.9,4.9,7.6,4.1
0101,Halden,2003,7,347,328,4.7,5.2,4.9,7.1,4.3
0101,Halden,2003,8,374,330,5.1,5.2,5.2,7.8,4.4
0101,Halden,2003,9,353,294,4.8,4.7,4.7,6.8,4.1
0101,Halden,2003,10,343,262,4.7,4.1,4.4,6.2,3.9
0101,Halden,2003,11,323,267,4.4,4.2,4.3,6.2,3.8
0101,Halden,2003,12,326,260,4.4,4.1,4.3,6.1,3.7
0101,Halden,2004,1,382,292,5.2,4.7,5,7.3,4.3
0101,Halden,2004,2,392,298,5.4,4.8,5.1,7.4,4.5
0101,Halden,2004,3,398,264,5.5,4.2,4.9,6.8,4.4
0101,Halden,2004,4,367,261,5,4.2,4.7,6.6,4.1
0101,Halden,2004,5,342,263,4.7,4.2,4.5,6.2,4
0101,Halden,2004,6,316,285,4.3,4.6,4.5,6.1,4
0101,Halden,2004,7,346,319,4.8,5.1,4.9,7.2,4.3
0101,Halden,2004,8,339,305,4.7,4.9,4.8,7,4.1
0101,Halden,2004,9,345,251,4.7,4,4.4,6.5,3.8
0101,Halden,2004,10,346,262,4.8,4.2,4.5,6.3,4
0101,Halden,2004,11,326,234,4.5,3.8,4.1,5.4,3.8
0101,Halden,2004,12,343,231,4.7,3.7,4.3,5.8,3.8
0101,Halden,2005,1,402,278,5.5,4.4,5,7.1,4.4
0101,Halden,2005,2,382,237,5.2,3.8,4.5,6.4,4
0101,Halden,2005,3,367,246,5,3.9,4.5,6.3,4
0101,Halden,2005,4,338,249,4.6,4,4.3,5.8,3.9
0101,Halden,2005,5,323,244,4.4,3.9,4.2,5.4,3.8
0101,Halden,2005,6,331,271,4.5,4.3,4.4,5.3,4.2
0101,Halden,2005,7,344,314,4.7,5,4.8,6.4,4.4
0101,Halden,2005,8,325,289,4.4,4.6,4.5,6.2,4
0101,Halden,2005,9,287,260,3.9,4.1,4,5.7,3.5
0101,Halden,2005,10,267,241,3.6,3.8,3.7,5.1,3.3
0101,Halden,2005,11,248,227,3.4,3.6,3.5,4.7,3.1
0101,Halden,2005,12,239,222,3.3,3.5,3.4,4.3,3.1
0101,Halden,2006,1,294,251,4,4,4,5.3,3.6
0101,Halden,2006,2,260,228,3.5,3.6,3.6,4.9,3.2
0101,Halden,2006,3,267,204,3.6,3.2,3.4,4.7,3.1
0101,Halden,2006,4,273,231,3.7,3.7,3.7,5.2,3.2
0101,Halden,2006,5,221,209,3,3.3,3.1,3.9,2.9
0101,Halden,2006,6,212,230,2.9,3.6,3.2,4.3,2.9
0101,Halden,2006,7,227,252,3.1,4,3.5,4.5,3.2
0101,Halden,2006,8,215,274,2.9,4.3,3.6,4.4,3.3
0101,Halden,2006,9,198,219,2.7,3.5,3,3.9,2.8
0101,Halden,2006,10,196,198,2.7,3.1,2.9,3.5,2.7
0101,Halden,2006,11,182,163,2.5,2.6,2.5,3.3,2.3
0101,Halden,2006,12,191,162,2.6,2.6,2.6,3.2,2.4
0101,Halden,2007,1,220,189,3,3,3,3.8,2.7
0101,Halden,2007,2,177,147,2.4,2.3,2.3,3.1,2.1
0101,Halden,2007,3,178,154,2.4,2.4,2.4,3,2.2
0101,Halden,2007,4,165,143,2.2,2.2,2.2,2.5,2.1
0101,Halden,2007,5,135,128,1.8,2,1.9,2.5,1.7
0101,Halden,2007,6,149,146,2,2.3,2.1,2.7,2
0101,Halden,2007,7,169,182,2.3,2.8,2.5,3.4,2.3
0101,Halden,2007,8,172,161,2.3,2.5,2.4,2.9,2.2
0101,Halden,2007,9,171,156,2.3,2.4,2.4,3.2,2.1
0101,Halden,2007,10,164,151,2.2,2.4,2.3,3.3,2
0101,Halden,2007,11,161,145,2.2,2.3,2.2,3,2
0101,Halden,2007,12,166,147,2.2,2.3,2.3,2.9,2.1
0101,Halden,2008,1,199,177,2.7,2.7,2.7,3.5,2.4
0101,Halden,2008,2,178,149,2.4,2.3,2.3,3,2.1
0101,Halden,2008,3,165,126,2.2,1.9,2.1,2.8,1.8
0101,Halden,2008,4,167,134,2.2,2,2.1,2.9,1.9
0101,Halden,2008,5,136,125,1.8,1.9,1.9,2.6,1.6
0101,Halden,2008,6,139,143,1.9,2.2,2,3.1,1.7
0101,Halden,2008,7,143,182,1.9,2.8,2.3,2.9,2.1
0101,Halden,2008,8,144,186,1.9,2.8,2.3,3.1,2.1
0101,Halden,2008,9,153,138,2,2.1,2.1,3.2,1.7
0101,Halden,2008,10,161,133,2.1,2,2.1,3.2,1.7
0101,Halden,2008,11,201,124,2.7,1.9,2.3,3.8,1.8
0101,Halden,2008,12,222,144,3,2.2,2.6,4,2.2
0101,Halden,2009,1,291,187,3.8,2.8,3.3,5.5,2.7
0101,Halden,2009,2,321,180,4.2,2.7,3.5,5.2,2.9
0101,Halden,2009,3,334,187,4.3,2.8,3.6,5.3,3.1
0101,Halden,2009,4,309,185,4,2.7,3.4,5,2.9
0101,Halden,2009,5,292,181,3.8,2.7,3.3,4.4,2.9
0101,Halden,2009,6,294,195,3.8,2.9,3.4,5,2.9
0101,Halden,2009,7,281,230,3.7,3.4,3.5,4.8,3.1
0101,Halden,2009,8,296,223,3.8,3.3,3.6,5.1,3.1
0101,Halden,2009,9,263,199,3.4,2.9,3.2,4,2.9
0101,Halden,2009,10,258,191,3.4,2.8,3.1,4,2.8
0101,Halden,2009,11,274,193,3.6,2.9,3.2,4.2,2.9
0101,Halden,2009,12,267,209,3.5,3.1,3.3,4.5,2.9
0101,Halden,2010,1,349,221,4.6,3.3,4,6,3.4
0101,Halden,2010,2,360,210,4.7,3.1,4,5.8,3.4
0101,Halden,2010,3,368,202,4.8,3,4,6,3.4
0101,Halden,2010,4,344,224,4.5,3.3,4,5.9,3.4
0101,Halden,2010,5,303,215,4,3.2,3.6,5,3.2
